124 0.000385 0.000385 0.000385
1 0.00027335 1.925e-05 0.00027335 2 97 72  0 0 33 34 
2 4.235e-05 0.0001232 0.0002618 2 47 3  0 0 41 45 
3 3.85e-06 0.0001232 0.0002772 2 -1 2  1 0 27 45 
4 0.0002695 0.00032725 7.315e-05 3 119 121 8  0 0 55 56 54 
5 2.695e-05 4.62e-05 0.00025795 4 15 -1 85 6  1 0 57 26 32 58 
6 4.62e-05 6.93e-05 0.00023485 2 85 5  0 0 29 58 
7 9.625e-05 0.0001694 7.7e-06 1 92  0 0 60 
8 0.0002849 0.0003157 9.625e-05 4 23 4 121 9  0 0 53 54 59 64 
9 0.00031185 0.0003388 9.625e-05 3 0 118 8  0 1 49 48 64 
10 0.00031185 0.0002849 0.00011165 1 23  0 0 66 
11 3.08e-05 0.0002541 0.0001232 2 12 77  0 0 68 40 
12 2.31e-05 0.0002541 0.00011165 2 11 53  0 0 68 67 
13 0.0002772 0.00034265 0.00010395 1 121  0 0 69 
14 7.7e-05 5.39e-05 0.0002541 1 15  0 0 70 
15 6.16e-05 5.39e-05 0.0002541 2 5 14  0 0 57 70 
16 9.24e-05 0.00021945 0.00026565 2 122 123  0 0 72 71 
17 0.0003542 6.93e-05 0.0002156 2 96 25  0 0 73 46 
18 0.0002618 0.0003388 0.00025025 2 110 28  0 0 74 65 
19 0.00037345 4.235e-05 0.0002233 3 0 113 25  0 1 78 82 63 
20 6.16e-05 0.0002926 8.085e-05 1 21  0 0 83 
21 7.7e-05 0.00030415 6.16e-05 2 20 82  0 0 83 47 
22 0.0002156 1.54e-05 0.0001232 3 98 46 87  0 0 85 86 75 
23 0.00031185 0.00030415 0.0001232 4 8 118 121 10  0 0 53 87 42 66 
24 0.00030415 0.0003696 0.00011165 1 27  0 0 88 
25 0.0003773 7.315e-05 0.00023485 4 96 0 17 19  0 1 62 89 46 63 
26 5.39e-05 0.00031955 0.0001078 1 100  0 0 90 
27 0.0002849 0.00037345 0.0001309 2 121 24  0 0 81 88 
28 0.00025025 0.00036575 0.0002618 3 29 107 18  0 0 91 50 65 
29 0.00023485 0.0003542 0.0002695 1 28  0 0 91 
30 0.0003003 2.31e-05 7.7e-06 2 64 0  0 1 118 36 
31 0.00025025 0.0003619 7.315e-05 3 114 119 121  0 0 130 84 101 
32 0.0001925 2.695e-05 4.62e-05 3 87 46 101  0 0 131 80 111 
33 0.0002156 7.7e-06 1.925e-05 1 87  0 0 152 
34 7.315e-05 0.00018865 0.00025795 4 73 122 47 44  0 0 116 153 145 154 
35 0.00030415 0.00027335 0.0003696 2 103 110  0 0 148 155 
36 0.00035035 7.7e-06 0.00035805 2 104 70  0 0 157 61 
37 1.54e-05 0.0002156 1.155e-05 5 53 -1 82 81 91  1 0 187 25 38 92 97 
38 0.0003619 0.0003542 0.00022715 3 118 107 0  0 1 191 192 109 
39 0.00015015 0.00015785 6.93e-05 3 48 120 78  0 0 129 115 193 
40 0.00016555 6.16e-05 0.00024255 4 72 86 79 58  0 0 204 205 202 127 
41 1.155e-05 0.00021175 0.00014245 3 -1 52 55  1 0 24 207 206 
42 0.0003388 8.085e-05 3.85e-05 4 95 64 94 65  0 0 174 208 209 150 
43 0.00023485 0.0001463 0.00018865 4 89 108 59 88  0 0 181 183 210 203 
44 1.155e-05 0.0001771 0.00025025 7 54 47 122 45 85 34 -1  1 0 190 189 172 217 160 154 23 
45 3.465e-05 0.00015015 0.0003003 4 44 122 116 -1  1 0 217 218 219 22 
46 0.00021945 1.54e-05 8.47e-05 5 22 98 87 101 32  0 0 86 201 220 110 80 
47 9.24e-05 0.00014245 0.000231 8 74 85 44 2 86 73 69 34  0 0 222 226 189 41 147 223 144 145 
48 0.000154 0.00011935 1.54e-05 5 99 120 92 39 87  0 0 139 188 230 129 119 
49 6.545e-05 9.625e-05 0.00011935 6 63 85 66 92 67 91  0 0 146 232 231 196 113 227 
50 8.085e-05 0.0001925 6.16e-05 5 78 53 92 81 77  0 0 237 184 79 186 215 
51 0.0001232 0.0003234 0.00011935 4 121 77 100 117  0 0 221 250 108 37 
52 1.155e-05 0.0001694 0.0001232 6 63 -1 41 53 85 67  1 0 252 21 207 253 242 251 
53 1.925e-05 0.0002233 7.7e-05 10 37 60 -1 81 12 50 63 52 82 91  1 0 187 211 20 114 67 184 258 253 77 98 
54 1.155e-05 0.0002387 0.00024255 5 44 123 117 -1 55  1 0 190 43 185 19 261 
55 2.31e-05 0.00021945 0.0001925 5 85 67 41 54 -1  1 0 30 260 206 261 18 
56 0.0002079 0.0001386 0.00025795 3 105 76 86  0 0 270 107 239 
57 0.000154 0.0001309 0.0001925 7 69 58 62 59 98 74 86  0 0 276 274 275 273 234 200 121 
58 0.00018095 0.00010395 0.0001925 6 57 88 69 40 98 59  0 0 274 128 246 127 249 277 
59 0.0001925 0.0001386 0.00017325 8 57 68 43 88 108 89 78 58  0 0 273 93 210 182 126 132 143 277 
60 1.54e-05 0.00032725 8.085e-05 4 53 82 100 -1  1 0 211 256 278 17 
61 0.00027335 8.855e-05 2.31e-05 1 87  0 0 279 
62 0.0001155 0.0001232 0.0001771 7 66 67 57 85 69 99 78  0 0 165 247 275 94 280 168 170 
63 1.54e-05 0.00012705 0.0001078 7 49 91 85 52 -1 67 53  1 0 146 281 282 252 16 137 258 
64 0.00035035 5.005e-05 1.54e-05 6 95 0 42 94 65 30  0 1 106 112 208 179 284 118 
65 0.00038115 6.93e-05 2.695e-05 5 95 0 94 64 42  0 1 283 156 149 284 150 
66 0.0001078 0.0001078 0.00011165 8 62 85 78 49 101 67 92 99  0 0 165 225 288 231 141 104 243 272 
67 6.93e-05 0.00020405 0.00015785 11 62 68 85 77 63 49 78 55 66 52 -1  1 0 247 292 289 214 137 113 213 260 104 251 15 
68 0.0001386 0.0002079 0.00016555 7 123 67 78 59 74 108 109  0 0 122 292 297 93 178 175 176 
69 0.00011935 0.0001001 0.0002079 8 85 98 57 79 62 58 47 86  0 0 236 264 276 296 280 246 144 298 
70 0.00037345 5.775e-05 0.00035035 4 113 104 0 36  0 1 180 44 299 61 
71 0.0001925 0.0001155 0.0003234 4 76 116 105 86  0 0 199 301 300 293 
72 0.0002079 2.695e-05 0.00025795 10 98 40 105 97 104 85 79 80 1 113  0 0 151 204 305 244 228 95 169 103 34 28 
73 0.00011935 0.0001925 0.0002926 7 122 123 34 47 86 74 109  0 0 294 100 116 223 124 308 309 
74 0.00015785 0.0001848 0.00024255 7 108 47 109 86 68 57 73  0 0 177 222 310 51 178 200 308 
75 0.00035805 0.00016555 2.31e-05 3 0 94 119  0 1 117 311 194 
76 0.0002156 0.0001771 0.0003465 5 71 116 56 109 111  0 0 199 302 107 313 295 
77 0.0001155 0.00023485 0.0001155 6 51 67 78 11 50 106  0 0 250 214 316 40 215 315 
78 0.0001309 0.00018865 0.0001155 12 66 99 68 50 77 67 106 59 120 62 39 92  0 0 288 307 297 237 316 213 317 143 167 170 193 257 
79 0.0001001 6.16e-05 0.0002849 7 85 69 84 40 72 116 86  0 0 287 296 304 202 169 320 319 
80 0.00021175 4.62e-05 0.0003696 4 116 72 105 104  0 0 173 103 248 142 
81 0.0001155 0.00028875 3.08e-05 8 106 82 53 50 119 37 -1 114  1 0 123 321 114 186 269 92 14 285 
82 1.54e-05 0.0003465 1.54e-05 7 60 81 21 100 53 37 -1  1 0 256 321 47 259 77 38 13 
83 3.08e-05 0.00038115 0.0002926 3 -1 123 115  1 0 12 324 314 
84 1.925e-05 1.54e-05 0.000308 4 79 -1 85 116  1 0 304 11 39 325 
85 4.235e-05 7.315e-05 0.0001694 19 101 66 47 49 69 79 67 63 -1 55 102 62 72 44 52 5 84 6 98  1 0 164 225 226 232 236 287 289 282 10 30 120 94 95 160 242 32 39 29 326 
86 0.0001309 0.00010395 0.0002849 11 40 74 98 56 57 116 47 79 71 73 69  0 0 205 51 233 239 121 328 147 319 293 124 298 
87 0.0002618 7.315e-05 7.7e-05 13 32 46 61 33 101 98 96 89 22 99 94 88 48  0 0 131 220 279 152 96 318 133 198 75 268 291 329 119 
88 0.00025025 7.315e-05 0.0001617 7 58 97 98 87 59 96 43  0 0 128 323 330 329 182 102 203 
89 0.0002849 0.00017325 0.00016555 10 96 43 87 118 0 108 59 93 121 94  0 1 235 181 198 76 140 331 132 240 263 306 
90 0.0001155 0.00028875 0.00035035 4 109 115 112 110  0 0 197 333 332 99 
91 3.08e-05 0.00015015 2.31e-05 7 63 -1 102 92 37 53 49  1 0 281 9 271 335 97 98 227 
92 9.24e-05 0.00011165 4.62e-05 9 48 7 50 49 91 102 101 66 78  0 0 230 60 79 196 335 334 125 243 257 
93 0.00035035 0.00012705 0.0002695 6 121 0 96 111 104 89  0 1 159 52 241 171 216 240 
94 0.0003388 0.0001386 6.93e-05 9 119 64 65 95 0 42 75 87 89  0 1 195 179 149 336 229 209 311 291 306 
95 0.00038115 0.0001155 9.24e-05 5 64 42 65 0 94  0 1 106 174 283 290 336 
96 0.0003465 0.0001078 0.0001848 8 97 17 0 89 25 87 93 88  0 1 339 73 161 235 62 133 241 102 
97 0.000308 6.93e-05 0.0002233 7 96 72 88 105 1 113 104  0 0 339 244 323 224 33 337 338 
98 0.0001925 6.16e-05 0.00013475 12 99 22 72 46 69 86 57 88 87 58 101 85  0 0 341 85 151 201 264 233 234 330 318 249 35 326 
99 0.00018095 0.00011935 0.0001078 8 98 48 106 78 120 62 87 66  0 0 341 139 267 307 245 168 268 272 
100 5.005e-05 0.00037345 0.0001155 7 60 82 51 26 123 -1 117  1 0 278 259 108 90 136 8 342 
101 0.00012705 2.31e-05 6.16e-05 8 85 102 46 87 66 98 32 92  0 0 164 343 110 96 141 35 111 125 
102 7.315e-05 4.62e-05 3.465e-05 5 101 -1 85 91 92  1 0 343 7 120 271 334 
