27 0.00054196 0.00054176 0.00054051
1 2.7017e-05 2.7017e-05 2.7017e-05 4 2 4 10 -1  1 0 1 2 3 4 
2 0.00020167 2.7017e-05 2.7017e-05 4 3 5 11 1  0 0 5 6 7 1 
3 0.00037632 2.7017e-05 2.7017e-05 4 0 6 12 2  0 1 8 9 10 5 
4 2.7017e-05 0.0002016 2.7017e-05 5 5 7 13 -1 1  1 0 11 12 13 14 2 
5 0.00020167 0.0002016 2.7017e-05 5 6 8 14 4 2  0 0 15 16 17 11 6 
6 0.00037632 0.0002016 2.7017e-05 5 0 9 15 5 3  0 1 18 19 20 15 9 
7 2.7017e-05 0.00037618 2.7017e-05 4 8 16 -1 4  1 0 21 22 23 12 
8 0.00020167 0.00037618 2.7017e-05 4 9 17 7 5  0 0 24 25 21 16 
9 0.00037632 0.00037618 2.7017e-05 4 0 18 8 6  0 1 26 27 24 19 
10 2.7017e-05 2.7017e-05 0.00020118 5 11 13 19 -1 1  1 0 28 29 30 31 3 
11 0.00020167 2.7017e-05 0.00020118 5 12 14 20 10 2  0 0 32 33 34 28 7 
12 0.00037632 2.7017e-05 0.00020118 5 0 15 21 11 3  0 1 35 36 37 32 10 
13 2.7017e-05 0.0002016 0.00020118 6 14 16 22 -1 10 4  1 0 38 39 40 41 29 13 
14 0.00020167 0.0002016 0.00020118 6 15 17 23 13 11 5  0 0 42 43 44 38 33 17 
15 0.00037632 0.0002016 0.00020118 6 0 18 24 14 12 6  0 1 45 46 47 42 36 20 
16 2.7017e-05 0.00037618 0.00020118 5 17 25 -1 13 7  1 0 48 49 50 39 22 
17 0.00020167 0.00037618 0.00020118 5 18 26 16 14 8  0 0 51 52 48 43 25 
18 0.00037632 0.00037618 0.00020118 5 0 27 17 15 9  0 1 53 54 51 46 27 
19 2.7017e-05 2.7017e-05 0.00037535 4 20 22 -1 10  1 0 55 56 57 30 
20 0.00020167 2.7017e-05 0.00037535 4 21 23 19 11  0 0 58 59 55 34 
21 0.00037632 2.7017e-05 0.00037535 4 0 24 20 12  0 1 60 61 58 37 
22 2.7017e-05 0.0002016 0.00037535 5 23 25 -1 19 13  1 0 62 63 64 56 40 
23 0.00020167 0.0002016 0.00037535 5 24 26 22 20 14  0 0 65 66 62 59 44 
24 0.00037632 0.0002016 0.00037535 5 0 27 23 21 15  0 1 67 68 65 61 47 
25 2.7017e-05 0.00037618 0.00037535 4 26 -1 22 16  1 0 69 70 63 49 
26 0.00020167 0.00037618 0.00037535 4 27 25 23 17  0 0 71 69 66 52 
27 0.00037632 0.00037618 0.00037535 4 0 26 24 18  0 1 72 71 68 54 
